Date,Open,High,Low,Close,Adj Close,Volume
2021-01-27,25.100401,25.100401,22.320181,22.867189,22.867189,194778780215
2021-01-28,22.862843,24.505583,22.369362,24.310778,24.310778,217358742844
2021-01-29,25.699949,26.731232,24.243023,25.381281,25.381281,245485862557
2021-01-30,25.377428,27.173985,24.603905,26.437387,26.437387,208963644505
2021-01-31,26.436617,27.369600,24.711920,25.146662,25.146662,179044863427
2021-02-01,25.140793,30.502279,24.365086,29.396690,29.396690,280641039400
2021-02-02,29.463873,33.031380,28.395460,31.081150,31.081150,474325649826
2021-02-03,31.060108,32.580566,30.275986,32.159607,32.159607,265852232876
2021-02-04,32.156479,32.569569,29.908419,32.190727,32.190727,259324820753
2021-02-05,32.197330,40.523033,32.076862,39.150909,39.150909,495572684707
2021-02-06,39.142460,47.867630,38.066395,45.702721,45.702721,590269616335
2021-02-07,45.771603,51.136642,42.722996,48.280430,48.280430,819093906443
2021-02-08,48.218002,52.444267,46.190556,49.775612,49.775612,660492987589
2021-02-09,49.748928,51.661335,48.793308,51.255264,51.255264,428760208519
2021-02-10,51.257603,68.722565,51.257603,67.734207,67.734207,922300796421
2021-02-11,67.770905,70.760208,63.504326,67.455841,67.455841,772699834260
2021-02-12,67.408836,68.682518,63.410789,67.189270,67.189270,583328498371
2021-02-13,67.177162,68.957771,60.468559,65.747116,65.747116,546790216336
2021-02-14,65.791435,66.391464,59.176296,61.590988,61.590988,519737066254
2021-02-15,61.547909,65.964996,52.049751,62.543003,62.543003,652289655025
2021-02-16,62.520565,65.755989,61.068092,63.523022,63.523022,506799427730
2021-02-17,63.520020,65.203278,60.235912,64.853470,64.853470,425249145087
2021-02-18,64.849808,69.611877,64.849808,66.370163,66.370163,357076938791
2021-02-19,66.380173,68.436531,64.266380,67.302193,67.302193,332493930829
2021-02-20,67.288589,86.623238,66.523888,81.493622,81.493622,831287128376
2021-02-21,81.393890,83.430138,78.309364,79.856300,79.856300,511010388902
2021-02-22,79.848045,82.153160,61.753914,79.642433,79.642433,765306707450
2021-02-23,79.614777,82.138000,59.665588,69.104095,69.104095,810819933353
2021-02-24,69.122116,77.737617,65.331337,76.135574,76.135574,614013429176
2021-02-25,76.113304,85.309273,73.749352,78.938858,78.938858,603373688193
2021-02-26,79.064102,95.139786,72.801575,91.340889,91.340889,1095419276289
2021-02-27,91.417419,108.676338,90.828079,97.504951,97.504951,1408780838071
2021-02-28,97.413567,100.173065,85.820168,96.395836,96.395836,1159391769971
2021-03-01,96.523514,98.512421,90.791107,94.746635,94.746635,716642158510
2021-03-02,94.836182,95.276909,87.099915,89.807899,89.807899,594887468066
2021-03-03,89.817955,92.007904,88.976563,88.811371,88.811371,360412968032
2021-03-04,88.800552,89.726891,78.169136,81.534195,81.534195,523964231538
2021-03-05,81.517479,87.460327,76.142921,85.513565,85.513565,536057339391
2021-03-06,85.435478,86.406120,79.776863,82.768456,82.768456,391374965942
2021-03-07,82.756561,83.593506,81.106956,82.943451,82.943451,307720595786
2021-03-08,82.912163,86.076675,81.234184,81.987572,81.987572,260845483121
2021-03-09,81.994316,88.683914,81.639999,86.979103,86.979103,387003616133
2021-03-10,86.974854,87.734879,81.723732,82.521675,82.521675,306487602670
2021-03-11,82.478806,82.768021,80.747581,81.703865,81.703865,263931872433
2021-03-12,81.706299,81.943253,75.044464,75.534592,75.534592,307104307180
2021-03-13,75.516457,85.984077,72.184212,80.199066,80.199066,426764842220
2021-03-14,80.174919,80.174919,76.990257,76.990257,76.990257,271727312025
2021-03-15,76.950119,77.728188,73.020248,74.947632,74.947632,329615928391
2021-03-16,74.926094,91.281013,72.877274,90.133629,90.133629,689114371026
2021-03-17,90.177284,102.610970,87.502258,100.050400,100.050400,729074679365
2021-03-18,100.031731,106.786942,89.917992,90.038879,90.038879,827920184497
2021-03-19,90.006371,97.227905,86.917213,94.331863,94.331863,577383633644
2021-03-20,94.281311,95.136177,87.404335,87.404335,87.404335,312732323798
2021-03-21,87.396362,90.138313,84.376549,86.108612,86.108612,294290539335
2021-03-22,86.113197,87.505501,78.858841,80.333511,80.333511,293725955466
2021-03-23,80.295067,85.083298,78.667061,81.438652,81.438652,334700391411
2021-03-24,81.423592,84.484955,76.760117,78.094467,78.094467,273096648380
2021-03-25,78.055511,83.787376,76.664268,79.988647,79.988647,416268694521
2021-03-26,79.977829,92.851639,79.798531,87.948891,87.948891,458287428819
2021-03-27,87.957077,89.565056,84.267143,85.239929,85.239929,225084716968
2021-03-28,85.257515,88.355583,84.712318,86.293877,86.293877,173657181228
2021-03-29,86.283173,89.197197,85.672585,87.475410,87.475410,185826870569
2021-03-30,87.476967,90.546562,86.722519,89.112694,89.112694,184893497768
2021-03-31,89.139015,89.139015,85.811378,87.351425,87.351425,233553888315
2021-04-01,87.372551,88.606087,86.768517,87.156799,87.156799,169278787342
2021-04-02,87.154137,91.277596,87.037033,87.795250,87.795250,213453147727
2021-04-03,87.781830,91.293350,85.970093,86.090576,86.090576,246202673371
2021-04-04,86.068222,88.032890,85.577049,87.421928,87.421928,158995712547
2021-04-05,87.431602,89.877731,86.384850,88.983582,88.983582,219307187666
2021-04-06,88.982025,98.506432,87.803177,92.244751,92.244751,463020971459
2021-04-07,92.252312,95.597130,86.464691,87.433006,87.433006,354999697265
2021-04-08,87.506195,91.236282,87.284760,90.902527,90.902527,172633342870
2021-04-09,90.903870,91.614517,89.288536,89.940147,89.940147,125466213129
2021-04-10,89.939682,93.555611,89.399948,91.077438,91.077438,185424978870
2021-04-11,91.047630,96.569992,89.733597,94.662750,94.662750,271776105287
2021-04-12,94.623260,101.118660,94.996994,98.698021,98.698021,368825638778
2021-04-13,98.605598,108.147781,96.847435,106.140556,106.140556,443312438472
2021-04-14,106.081375,117.043137,101.652649,109.194862,109.194862,719960942177
2021-04-15,109.073647,111.702110,106.375984,110.715584,110.715584,398848285506
2021-04-16,110.569061,113.479088,99.811020,105.652519,105.652519,424428581886
2021-04-17,105.420959,108.575554,101.975792,103.247375,103.247375,302541109916
2021-04-18,103.345192,104.203659,81.933006,95.105751,95.105751,555846710625
2021-04-19,95.292473,98.837219,87.927666,89.701309,89.701309,424259701934
2021-04-20,89.450508,96.601120,84.499733,95.514053,95.514053,366354918028
2021-04-21,95.649902,97.063141,90.574112,91.024200,91.024200,307651270540
2021-04-22,90.810471,95.968689,83.919472,86.131638,86.131638,352435801018
2021-04-23,86.042046,87.264732,70.244934,86.525436,86.525436,538780617596
2021-04-24,86.756126,89.564934,82.128639,82.457672,82.457672,267000714903
2021-04-25,82.558640,85.809479,76.618202,81.475517,81.475517,184600831744
2021-04-26,81.620445,93.467400,81.015503,92.323357,92.323357,239489815158
2021-04-27,92.590889,99.163322,91.596916,97.464424,97.464424,222643860225
2021-04-28,97.392761,100.529030,91.947578,99.256088,99.256088,221559667130
2021-04-29,99.363197,104.477760,93.954262,96.931740,96.931740,296243856059
2021-04-30,96.797020,101.298782,95.436775,100.210388,100.210388,199396397895
2021-05-01,100.209084,101.319275,97.736618,100.256493,100.256493,150474344063
2021-05-02,100.132843,100.391167,95.996399,98.310242,98.310242,147767164576
2021-05-03,98.319580,101.906075,97.992867,100.569077,100.569077,177092571644
2021-05-04,100.636185,100.838699,92.839577,94.002785,94.002785,246576509747
2021-05-05,93.772270,110.198509,93.022942,108.892036,108.892036,354017130756
2021-05-06,109.082527,125.109383,105.814522,121.474586,121.474586,786187756197
2021-05-07,121.368507,128.112381,112.642471,121.182373,121.182373,536821673294
2021-05-08,121.262375,121.262375,114.641068,118.706802,118.706802,290191552227
2021-05-09,118.764961,134.116669,115.514351,129.765457,129.765457,591125146906
2021-05-10,129.436081,133.744949,112.344490,120.885574,120.885574,475056418044
2021-05-11,120.666634,130.497009,117.394211,129.439804,129.439804,398323356188
2021-05-12,129.397812,133.554993,114.411308,114.411308,114.411308,393348294249
2021-05-13,115.566269,144.679184,110.914810,142.018951,142.018951,1065943180819
2021-05-14,141.549957,149.643448,133.277618,146.909668,146.909668,560893232556
2021-05-15,147.043579,173.799866,144.105072,159.310760,159.310760,1137134724941
2021-05-16,159.120743,180.396027,147.531723,169.209824,169.209824,917759147869
2021-05-17,168.555969,170.374435,141.208908,148.901093,148.901093,824305968603
2021-05-18,148.598999,156.969345,144.628952,146.524719,146.524719,493238877940
2021-05-19,146.738342,148.307190,75.266739,108.555191,108.555191,1194550682967
2021-05-20,107.781898,141.993652,97.197845,132.204330,132.204330,860823260502
2021-05-21,131.629257,136.451752,96.743713,113.184860,113.184860,660279170969
2021-05-22,113.245880,116.739029,100.473274,106.720596,106.720596,479229013080
2021-05-23,106.870636,112.263496,77.001274,96.637634,96.637634,677892268569
2021-05-24,95.966873,116.458214,92.622597,112.859573,112.859573,536509494888
2021-05-25,112.924263,120.076469,104.778946,113.238846,113.238846,416673432849
2021-05-26,113.172935,133.321213,113.172935,129.553894,129.553894,482465403143
2021-05-27,129.440155,130.118881,117.327065,119.634674,119.634674,310123951164
2021-05-28,119.974548,121.695381,105.314941,109.458336,109.458336,388979650750
2021-05-29,109.576797,113.060211,96.707794,101.802361,101.802361,282523400163
2021-05-30,101.662704,122.271317,97.863281,114.185120,114.185120,360142630151
2021-05-31,114.066772,126.897972,110.573723,126.329567,126.329567,325548134822
2021-06-01,126.015564,128.998337,120.955399,126.385895,126.385895,300453686668
2021-06-02,126.619057,131.651230,125.515915,128.161377,128.161377,277639593984
